name,☺,✋,✌,✨,❤,🎵,🎶,👀,👊,👌,👍,👏,💀,💁,💓,💔,💕,💖,💙,💛,💜,💪,💯,🔫,😁,😂,😄,😅,😈,😉,😊,😋,😌,😍,😎,😏,😐,😑,😒,😓,😔,😕,😖,😘,😜,😞,😠,😡,😢,😣,😤,😩,😪,😫,😬,😭,😳,😴,😷,🙅,🙈,🙊,🙌,🙏
140,8,0,4,6,7,3,4,3,9,4,16,8,0,0,8,5,3,4,6,8,4,7,4,3,4,1,10,4,10,12,10,1,4,3,7,2,9,6,4,7,4,12,7,0,11,9,10,11,10,6,8,0,1,2,14,1,3,1,0,0,1,0,5,6
1849: Gold Edition,5,4,8,2,4,0,0,3,8,3,21,4,0,2,5,8,0,1,2,5,2,2,0,5,7,0,14,9,12,15,10,1,1,1,4,1,20,18,13,14,7,22,18,0,13,17,21,21,15,18,14,1,4,3,21,1,13,3,1,3,2,0,1,7
1954 Alcatraz,3,0,2,1,3,1,1,4,5,1,12,5,0,0,3,7,1,1,4,4,2,2,0,1,2,0,10,5,6,10,4,0,1,1,3,0,12,8,5,7,3,12,8,0,7,11,12,12,12,10,8,0,2,0,12,0,4,0,1,0,1,1,0,7
1979 Revolution: Black Friday,3,0,3,0,2,0,0,0,2,0,8,6,0,0,3,6,0,0,2,2,1,0,0,1,2,0,5,2,5,3,4,0,0,0,3,0,9,6,4,8,5,9,7,0,3,8,8,9,8,8,5,0,3,2,7,2,2,0,0,0,0,0,0,4
1nsane,17,1,11,7,19,3,7,9,24,13,34,23,1,0,14,11,3,2,17,21,11,17,6,5,17,3,33,7,20,28,24,1,1,3,23,1,22,10,7,10,5,23,13,2,30,18,20,21,19,12,14,3,4,3,30,3,8,0,0,0,3,2,10,11
2064: Read Only Memories,3,1,9,2,10,0,0,1,8,2,14,10,0,1,12,10,0,3,8,10,6,0,1,1,0,0,8,1,8,9,7,0,1,0,4,0,10,8,6,7,6,16,6,0,7,12,14,15,11,8,11,0,3,1,12,0,1,1,0,2,0,0,0,13
2064: Read Only Memories - Deluxe Edition Upgrade,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,0,0,2,2,2,2,2,1,1,2,1,1,1,0,0,0,0,0,0,0,1
60 Parsecs!,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1
60 Seconds!,0,1,1,0,1,0,0,1,3,2,4,1,0,1,0,2,0,0,1,1,0,0,1,1,0,1,1,1,2,1,1,0,0,0,1,0,4,3,3,2,2,4,3,0,1,2,4,4,2,2,3,0,1,0,4,0,2,0,1,1,0,0,0,3
7 Billion Humans,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
7th Legion,4,0,7,2,4,2,3,3,10,4,21,7,0,2,4,8,0,0,4,4,3,2,2,3,7,0,14,8,9,15,6,0,3,0,7,2,19,16,14,14,9,20,13,0,11,18,19,18,17,14,17,1,6,2,20,0,9,0,0,1,2,1,1,8
8-bit Armies,6,0,11,3,6,1,2,4,11,4,20,12,0,0,9,5,1,0,4,8,2,5,4,4,5,2,15,3,9,16,7,0,1,2,11,1,15,12,7,9,1,13,10,0,15,11,17,15,13,13,14,1,2,1,16,2,2,0,2,1,1,0,4,9
8-bit Armies - Guardians Campaign,0,0,2,0,0,0,0,2,1,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,3,3,3,0,0,0,3,0,4,4,2,2,1,4,2,0,3,3,4,4,3,4,4,1,1,1,4,1,0,0,0,0,0,0,0,1
8-bit Armies Soundtrack,1,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
8-bit Hordes,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,2,2,1,0,0,0,1,0,2,2,1,1,1,1,1,0,2,1,2,2,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
8-bit Invaders,3,0,5,2,0,0,0,0,4,3,6,3,0,2,1,1,0,0,1,2,0,3,1,0,3,0,5,3,4,5,5,1,2,0,4,2,5,2,1,1,1,5,1,0,5,2,4,4,2,1,3,0,1,1,6,0,2,0,0,0,0,0,0,2
80 Days,7,0,8,4,11,0,0,3,7,4,18,10,0,0,11,6,1,2,7,12,7,4,3,0,4,0,14,3,12,13,10,0,0,0,7,1,12,10,4,6,4,15,7,0,12,10,13,14,12,9,7,0,1,1,13,0,3,0,1,0,1,0,4,12
88 Heroes,0,0,0,0,2,0,0,0,1,0,2,1,0,0,2,2,0,0,1,2,1,1,1,0,0,0,1,0,2,1,0,0,0,0,0,0,1,0,0,1,1,2,1,0,0,2,2,2,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2
99 Levels to Hell,3,0,5,1,3,1,1,0,6,3,12,5,0,0,3,6,0,0,3,4,2,2,1,1,1,1,6,2,7,7,3,0,0,0,4,0,11,10,9,7,7,11,9,0,5,9,12,12,9,10,10,0,6,0,13,1,5,2,0,1,0,0,2,6
>observer_,9,0,8,5,13,1,2,4,14,5,29,14,1,1,18,20,0,1,8,18,6,10,5,6,5,1,13,4,17,17,7,1,2,2,9,0,24,15,8,19,12,26,25,0,18,22,26,26,25,23,23,0,8,1,23,1,7,2,2,1,3,1,2,21
A Bird Story,15,2,16,9,19,3,6,6,10,9,32,21,0,5,20,14,5,10,19,21,14,6,7,3,10,1,26,10,12,24,19,1,7,3,9,4,15,10,8,10,9,24,9,2,19,18,18,21,21,12,9,0,7,0,18,1,4,2,1,1,1,0,5,17
A Boy and His Blob,1,0,1,0,1,0,0,0,4,1,7,4,0,0,1,3,0,0,1,2,0,1,1,0,0,0,6,1,4,6,3,0,0,0,4,0,7,6,2,3,2,7,5,0,6,6,7,7,7,5,6,0,1,0,7,0,1,0,0,0,0,0,0,3
A Fistful of Gun,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
A Golden Wake,1,0,8,1,8,0,0,4,7,1,17,8,0,0,9,10,0,0,5,10,4,1,2,0,2,0,13,2,8,14,9,0,1,0,5,0,15,10,5,8,8,16,7,0,10,13,16,16,13,10,10,0,5,1,13,0,1,1,0,0,0,0,1,11
A Hat in Time,22,1,20,12,28,2,7,5,22,16,43,27,0,0,29,14,4,9,24,26,22,13,7,3,16,1,38,8,22,31,27,6,6,4,20,5,21,11,7,20,10,28,15,1,33,20,25,27,27,19,20,0,5,3,26,1,5,1,2,1,0,1,7,24
A Hat in Time - Seal the Deal,0,0,1,0,1,1,1,0,3,0,4,1,1,0,1,3,0,0,0,1,0,1,1,0,0,0,1,0,3,1,0,0,0,0,0,0,3,3,2,4,2,3,4,0,1,3,4,4,4,4,4,0,3,0,3,0,0,0,1,0,0,0,0,3
A Kiss For The Petals - Maidens of Michael,1,3,5,1,4,3,3,0,5,4,6,4,1,5,6,5,0,0,1,6,2,1,4,1,0,0,5,1,4,7,1,0,2,1,2,4,6,6,5,5,2,6,4,1,7,5,7,7,3,5,7,1,2,1,5,1,2,1,1,5,1,1,4,1
A Kiss For The Petals - Remembering How We Met,0,1,2,0,1,1,1,3,2,1,5,2,3,1,2,4,0,0,1,1,0,1,1,1,2,1,4,3,2,2,4,0,1,0,1,2,6,4,2,6,2,6,6,0,3,4,5,5,5,5,3,0,3,0,6,1,5,0,2,1,0,0,1,3
A New Beginning: Final Cut,11,5,19,6,19,3,4,8,25,11,63,33,0,2,31,34,1,4,12,26,9,6,2,12,11,1,39,12,39,39,27,2,2,0,20,3,58,51,31,40,28,62,45,0,36,52,56,57,45,45,47,1,13,5,53,1,17,2,5,7,2,0,5,35
A.D. 2044,2,2,7,4,1,2,4,3,9,4,12,4,2,2,5,7,2,2,2,3,2,5,1,6,2,4,6,3,10,10,2,1,3,1,3,4,11,10,6,11,7,10,10,1,10,10,11,11,12,10,9,0,4,1,11,0,6,0,4,1,4,2,1,5
ABZÛ,9,0,13,7,15,1,3,3,10,6,24,12,2,0,21,12,0,4,11,17,10,4,4,4,5,0,15,3,13,13,11,0,3,1,10,0,15,12,5,11,7,16,10,0,13,14,20,20,17,9,15,0,5,0,17,0,3,1,1,0,0,0,6,17
ADOM (Ancient Domains Of Mystery),2,0,6,0,4,0,0,1,5,1,10,6,0,0,6,4,0,2,3,6,4,2,1,0,1,0,8,1,9,8,6,0,0,0,2,0,6,4,3,6,3,9,4,0,8,5,9,10,8,3,7,0,0,0,7,0,2,0,0,0,0,0,1,7
AER – Memories of Old,4,0,8,3,6,1,1,0,6,2,8,6,0,0,9,7,2,3,6,9,6,3,0,2,2,0,5,1,3,2,5,0,0,1,3,0,6,4,3,6,5,8,5,1,2,7,8,7,8,5,7,1,2,3,3,1,2,1,1,0,0,0,2,8
AI War Collection,2,0,9,3,9,0,0,3,11,2,16,13,2,1,9,10,0,1,8,12,7,6,4,3,2,0,12,0,12,10,4,0,0,0,3,1,9,5,2,4,2,13,4,0,6,11,14,14,13,7,11,0,0,0,12,0,1,0,0,0,0,0,4,13
AI War: DLC Pack,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
AI War: Fleet Command,1,0,5,0,5,0,0,4,6,1,11,7,0,0,5,4,0,0,3,5,2,2,3,1,1,0,8,0,10,9,5,0,0,0,3,0,11,8,3,4,1,12,4,0,9,9,11,12,9,7,9,0,1,0,11,0,5,0,1,0,3,0,1,8
ART OF FIGHTING 2,0,1,1,1,1,0,0,0,2,0,1,0,0,0,1,2,1,1,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,1,2,2,2,3,3,2,2,0,0,3,2,3,3,2,2,0,3,0,2,1,0,0,1,0,0,0,0,1
Aarklash: Legacy,3,1,8,1,3,0,0,3,15,0,19,12,1,0,4,4,0,1,4,5,1,7,4,2,3,1,15,5,15,18,7,0,0,0,6,0,19,15,8,10,5,19,10,0,16,14,18,18,14,12,16,1,1,1,18,0,7,1,0,1,1,0,0,7
Absolver,19,5,33,11,22,8,11,5,52,19,60,35,2,3,27,27,3,4,20,26,13,28,10,13,19,3,34,22,38,41,20,2,6,6,23,7,43,37,22,36,22,44,32,2,33,38,57,54,42,36,46,3,14,4,48,2,6,4,2,4,3,2,13,34
Absolver: Deluxe Edition Upgrade,3,0,2,0,2,0,1,1,3,1,5,2,0,0,2,1,0,0,1,3,1,1,0,1,4,0,4,2,3,4,3,0,1,0,3,0,5,2,1,4,2,6,3,0,4,3,4,4,5,4,3,1,0,1,6,1,2,0,1,1,0,0,0,3
Act of War: Gold Edition,5,0,10,2,5,1,2,3,15,2,18,14,1,1,8,5,0,2,3,8,2,7,5,5,1,0,15,2,16,13,10,0,1,0,12,1,12,9,3,3,2,14,6,0,16,7,14,15,11,6,11,0,1,0,16,0,5,1,1,0,0,1,2,9
Advent Rising,13,2,23,5,21,2,5,10,39,11,72,50,1,2,28,46,1,2,21,25,13,11,11,16,15,1,43,11,47,43,23,0,2,2,22,3,58,45,21,38,28,69,42,0,35,57,66,66,61,45,50,1,17,3,63,4,22,0,1,5,3,1,14,43
"Adventures of Shuggy, The",4,0,6,4,4,2,3,1,5,2,9,5,0,1,6,3,0,1,4,6,4,1,1,0,2,0,7,0,6,8,6,1,1,1,5,1,4,2,1,2,1,7,3,1,7,3,7,7,4,3,3,0,0,0,5,0,2,1,1,0,1,1,0,4
Afterlife,3,0,6,0,6,0,0,0,5,2,8,7,0,0,6,4,0,1,5,6,5,1,1,0,1,1,7,1,7,5,2,1,0,0,3,1,6,3,0,2,0,6,1,0,4,5,7,7,6,1,5,0,0,0,4,0,0,0,0,0,0,0,1,7
Agarest: Generations of War,0,0,2,0,1,0,0,1,4,0,6,3,0,0,3,5,0,0,2,3,1,1,3,1,0,0,1,0,6,2,0,0,0,0,0,0,6,4,3,6,1,6,3,0,2,6,6,6,6,5,6,0,1,0,4,0,0,0,0,0,0,0,0,4
Agarest: Generations of War - Collector’s Edition,1,0,2,0,1,0,0,0,6,2,5,3,0,0,2,2,0,0,0,2,0,1,2,2,0,0,3,0,4,4,2,0,0,0,1,0,5,4,4,4,2,6,3,0,4,4,6,6,4,4,5,0,2,1,5,0,1,1,1,0,0,0,0,3
Agarest: Generations of War - Collector’s Edition Upgrade,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
Agarest: Generations of War 2,0,1,2,0,0,0,0,3,4,0,5,3,0,1,0,4,0,0,0,0,0,2,1,3,0,0,1,0,6,2,1,0,0,0,0,0,6,6,6,4,1,5,5,0,3,5,6,6,4,5,6,0,1,0,5,0,1,1,2,1,0,0,0,2
Agarest: Generations of War Zero,1,0,5,1,2,0,1,3,6,2,7,4,0,0,3,3,0,0,1,2,1,2,0,0,1,0,3,0,5,4,3,0,0,0,2,0,5,4,3,3,2,6,4,0,4,5,6,6,6,4,5,0,1,1,5,0,1,0,0,0,1,0,1,5
Agatha Christie - The ABC Murders,4,0,7,1,5,1,2,5,11,4,19,6,0,0,10,9,0,0,4,9,1,5,0,3,5,2,13,6,17,15,8,0,1,0,7,3,19,14,7,14,8,18,14,0,14,15,19,19,15,16,16,2,4,2,21,0,5,2,0,0,1,0,3,9
Age of Wonders,27,0,29,19,34,6,13,9,34,26,60,46,1,4,32,19,3,9,33,41,22,24,18,5,19,2,44,17,37,42,39,4,6,5,33,8,30,23,11,18,16,40,17,2,36,26,37,39,31,20,27,0,10,4,41,1,11,2,0,0,4,1,20,43
