name,☺,✋,✌,✨,❤,🎵,🎶,👀,👊,👌,👍,👏,💀,💁,💓,💔,💕,💖,💙,💛,💜,💪,💯,🔫,😁,😂,😄,😅,😈,😉,😊,😋,😌,😍,😎,😏,😐,😑,😒,😓,😔,😕,😖,😘,😜,😞,😠,😡,😢,😣,😤,😩,😪,😫,😬,😭,😳,😴,😷,🙅,🙈,🙊,🙌,🙏,sum
140,2.3529411764705883,0.0,1.1764705882352942,1.7647058823529411,2.0588235294117645,0.8823529411764706,1.1764705882352942,0.8823529411764706,2.6470588235294117,1.1764705882352942,4.705882352941177,2.3529411764705883,0.0,0.0,2.3529411764705883,1.4705882352941175,0.8823529411764706,1.1764705882352942,1.7647058823529411,2.3529411764705883,1.1764705882352942,2.0588235294117645,1.1764705882352942,0.8823529411764706,1.1764705882352942,0.29411764705882354,2.941176470588235,1.1764705882352942,2.941176470588235,3.5294117647058822,2.941176470588235,0.29411764705882354,1.1764705882352942,0.8823529411764706,2.0588235294117645,0.5882352941176471,2.6470588235294117,1.7647058823529411,1.1764705882352942,2.0588235294117645,1.1764705882352942,3.5294117647058822,2.0588235294117645,0.0,3.2352941176470593,2.6470588235294117,2.941176470588235,3.2352941176470593,2.941176470588235,1.7647058823529411,2.3529411764705883,0.0,0.29411764705882354,0.5882352941176471,4.117647058823529,0.29411764705882354,0.8823529411764706,0.29411764705882354,0.0,0.0,0.29411764705882354,0.0,1.4705882352941175,1.7647058823529411,340
1849: Gold Edition,1.0869565217391304,0.8695652173913043,1.7391304347826086,0.43478260869565216,0.8695652173913043,0.0,0.0,0.6521739130434783,1.7391304347826086,0.6521739130434783,4.565217391304348,0.8695652173913043,0.0,0.43478260869565216,1.0869565217391304,1.7391304347826086,0.0,0.21739130434782608,0.43478260869565216,1.0869565217391304,0.43478260869565216,0.43478260869565216,0.0,1.0869565217391304,1.5217391304347827,0.0,3.0434782608695654,1.956521739130435,2.608695652173913,3.260869565217391,2.1739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.8695652173913043,0.21739130434782608,4.3478260869565215,3.91304347826087,2.8260869565217392,3.0434782608695654,1.5217391304347827,4.782608695652174,3.91304347826087,0.0,2.8260869565217392,3.6956521739130435,4.565217391304348,4.565217391304348,3.260869565217391,3.91304347826087,3.0434782608695654,0.21739130434782608,0.8695652173913043,0.6521739130434783,4.565217391304348,0.21739130434782608,2.8260869565217392,0.6521739130434783,0.21739130434782608,0.6521739130434783,0.43478260869565216,0.0,0.21739130434782608,1.5217391304347827,460
1954 Alcatraz,1.153846153846154,0.0,0.7692307692307693,0.38461538461538464,1.153846153846154,0.38461538461538464,0.38461538461538464,1.5384615384615385,1.9230769230769231,0.38461538461538464,4.615384615384616,1.9230769230769231,0.0,0.0,1.153846153846154,2.6923076923076925,0.38461538461538464,0.38461538461538464,1.5384615384615385,1.5384615384615385,0.7692307692307693,0.7692307692307693,0.0,0.38461538461538464,0.7692307692307693,0.0,3.8461538461538463,1.9230769230769231,2.307692307692308,3.8461538461538463,1.5384615384615385,0.0,0.38461538461538464,0.38461538461538464,1.153846153846154,0.0,4.615384615384616,3.076923076923077,1.9230769230769231,2.6923076923076925,1.153846153846154,4.615384615384616,3.076923076923077,0.0,2.6923076923076925,4.230769230769231,4.615384615384616,4.615384615384616,4.615384615384616,3.8461538461538463,3.076923076923077,0.0,0.7692307692307693,0.0,4.615384615384616,0.0,1.5384615384615385,0.0,0.38461538461538464,0.0,0.38461538461538464,0.38461538461538464,0.0,2.6923076923076925,260
1979 Revolution: Black Friday,1.6666666666666667,0.0,1.6666666666666667,0.0,1.1111111111111112,0.0,0.0,0.0,1.1111111111111112,0.0,4.444444444444445,3.3333333333333335,0.0,0.0,1.6666666666666667,3.3333333333333335,0.0,0.0,1.1111111111111112,1.1111111111111112,0.5555555555555556,0.0,0.0,0.5555555555555556,1.1111111111111112,0.0,2.7777777777777777,1.1111111111111112,2.7777777777777777,1.6666666666666667,2.2222222222222223,0.0,0.0,0.0,1.6666666666666667,0.0,5.0,3.3333333333333335,2.2222222222222223,4.444444444444445,2.7777777777777777,5.0,3.888888888888889,0.0,1.6666666666666667,4.444444444444445,4.444444444444445,5.0,4.444444444444445,4.444444444444445,2.7777777777777777,0.0,1.6666666666666667,1.1111111111111112,3.888888888888889,1.1111111111111112,1.1111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,180
1nsane,2.2972972972972974,0.13513513513513514,1.4864864864864866,0.945945945945946,2.5675675675675675,0.40540540540540543,0.945945945945946,1.2162162162162162,3.2432432432432434,1.7567567567567568,4.594594594594595,3.1081081081081083,0.13513513513513514,0.0,1.891891891891892,1.4864864864864866,0.40540540540540543,0.2702702702702703,2.2972972972972974,2.837837837837838,1.4864864864864866,2.2972972972972974,0.8108108108108109,0.6756756756756757,2.2972972972972974,0.40540540540540543,4.45945945945946,0.945945945945946,2.7027027027027026,3.783783783783784,3.2432432432432434,0.13513513513513514,0.13513513513513514,0.40540540540540543,3.1081081081081083,0.13513513513513514,2.9729729729729732,1.3513513513513513,0.945945945945946,1.3513513513513513,0.6756756756756757,3.1081081081081083,1.7567567567567568,0.2702702702702703,4.054054054054054,2.4324324324324325,2.7027027027027026,2.837837837837838,2.5675675675675675,1.6216216216216217,1.891891891891892,0.40540540540540543,0.5405405405405406,0.40540540540540543,4.054054054054054,0.40540540540540543,1.0810810810810811,0.0,0.0,0.0,0.40540540540540543,0.2702702702702703,1.3513513513513513,1.4864864864864866,740
2064: Read Only Memories,0.9375,0.3125,2.8125,0.625,3.125,0.0,0.0,0.3125,2.5,0.625,4.375,3.125,0.0,0.3125,3.75,3.125,0.0,0.9375,2.5,3.125,1.875,0.0,0.3125,0.3125,0.0,0.0,2.5,0.3125,2.5,2.8125,2.1875,0.0,0.3125,0.0,1.25,0.0,3.125,2.5,1.875,2.1875,1.875,5.0,1.875,0.0,2.1875,3.75,4.375,4.6875,3.4375000000000004,2.5,3.4375000000000004,0.0,0.9375,0.3125,3.75,0.0,0.3125,0.3125,0.0,0.625,0.0,0.0,0.0,4.0625,320
2064: Read Only Memories - Deluxe Edition Upgrade,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,2.5,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,2.5,2.5,5.0,2.5,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,40
60 Parsecs!,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,20
60 Seconds!,0.0,1.25,1.25,0.0,1.25,0.0,0.0,1.25,3.75,2.5,5.0,1.25,0.0,1.25,0.0,2.5,0.0,0.0,1.25,1.25,0.0,0.0,1.25,1.25,0.0,1.25,1.25,1.25,2.5,1.25,1.25,0.0,0.0,0.0,1.25,0.0,5.0,3.75,3.75,2.5,2.5,5.0,3.75,0.0,1.25,2.5,5.0,5.0,2.5,2.5,3.75,0.0,1.25,0.0,5.0,0.0,2.5,0.0,1.25,1.25,0.0,0.0,0.0,3.75,80
7 Billion Humans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20
